篇名	作者	页数	关键词	摘要	filename
基于GRA和AHP的学科服务绩效评估模型及其应用——以黑龙江东方学院图书馆为例	郭春阳:22150115|张贤淑:38578469|王欢:33846983	8	 	"<正>高校图书馆学科服务绩效评估是改进图书馆学科服务的基本依据,有利于高校图书馆构建面向在校学生的服务体系。学科服务绩效评估是指利用定性和定量分析的方法,通过建立合理的评估指标体系,利用恰当的评估方法来评估学科服务的效果[1]。高校图书馆学科服务绩效评估的目的是使学科服务满足广大本科学生日益增长的情报服务需求,有力地促进高校图书馆面向本科生的服务体系建设。论文利用层次分析法(Analytic hierarchy process,简称AHP)建立了学科服务绩效 "	SHGT201904023
《中华人民共和国公共图书馆法》对高校图书馆适用性问题研究	董艳洋:43726874	7	 	"<正>2018年1月1日,对于图书馆界来说是极不平凡的一天,历时17年之余的图书馆立法工作终于在这一天迎来了""大丰收""——《中华人民共和国公共图书馆法》(以下简称《公共图书馆法》)即日起开始施行[1]。图书馆的立法工作漫长而艰巨。2001年,文化部在天津召开《图书馆法》专家论坛,图书馆的立法工作正式开启。两年后,《图书馆法(送审稿)》递交给国务院法制办申请审批,却遭遇""停摆"",原因是国务院法制办认为《图书馆法(送审稿)》所包含的图书馆类型较多,覆盖的面比较广, "	SHGT201904024
“互联网+”环境下高校图书馆研究热点分析	成志强:43726875	7	 	"<正>李克强总理在2015年政府工作报告中,首次提出""互联网+""行动计划,以推动新兴产业创新发展,加强各个领域的深度融合[1]。图书馆界应时而上,积极主动地将""互联网+""融入到图书馆事业的理论与实践中。2015年至今,以""互联网+""和""图书馆""为主题的研究已逐渐成为图书馆学界新的热点领域。同时,作为科研服务机构的高校图书馆,也跻身""互联网+""行列。一方面,充分利用自身的优势特点,整合""互联网+""的技术优势,不断改造和升级物理空间,为在校师生提供智慧型学 "	SHGT201904025
精心打造名校“积极学习中心”——普渡大学图书馆运营的新思路	吉久明:07521009	4	 	"<正>初识普渡大学图书馆今年7月初,我决定拜访普渡大学图书馆。普渡大学在全美工科大学的排名非常靠前,登月第一人阿姆斯特朗系该校校友,距离我访学所在的伊利诺伊州立大学香槟分校仅一个半小时的车程。我通过普渡大学图书馆主页上的Ask us联系到设施部主管Nanette Andersson,她推荐我们参观Wilmeth积极学习中心(WALC),并安排了Vicki教授接待我们。通过普渡大学图书馆主页上该中心的介绍, "	SHGT201904027
唯有书香伴芳华		2	 	 	SHGT201804001
2018“知网杯”高校信息资源发现大赛决赛在上海师范大学举行	冯丽:37661548	2	 	"<正>11月15日下午,由上海市高等学校图书情报工作委员会、同方知网(北京)技术有限公司上海分公司联合主办,上海师范大学图书馆承办的2018""知网杯""上海高校信息资源发现大赛决赛暨颁奖典礼在上海师范大学音乐厅举行。比赛开始前,上海师范大学图书馆党总支书记段鸿代表承办方致欢迎辞。 "	SHGT201804002
藏往知来 融会贯通 第三届“全球化视野·大学图书馆馆长论坛”在上海财经大学图书馆举办	周丽:08480203|石琳琳:40875069|刘金涛:08479492	2	 	"<正>2018年10月22日至24日,由上海财经大学图书馆主办,上海财经大学教育发展基金会、上海市图书馆学会《图书馆杂志》协办的第三届""全球化视野·大学图书馆馆长论坛""(以下简称""馆长论坛"")在上海财经大学英贤图书馆举办。来自美国、英国、荷兰、新加坡、澳大利亚以及中国香港、中国台湾、中国内地等海内外高校图书馆、联机计算机图书馆中心(OCLC)、图情杂志社等60余位馆长、专家出席论坛, "	SHGT201804003
回顾十年发展 推进服务创新 上交大图书馆主馆十年发展回顾展暨新时代图书馆服务创新研讨会举行	何蔓:40875059	1	 	"<正>为迎接上海交通大学图书馆主馆运行十周年庆,2018年12月15日上午,《大美交圕筑梦扬帆——上海交通大学图书馆主馆十年发展回顾专题展》在上海交大图书馆主馆开幕。展览主要表现了在新时代图书馆服务创新的大背景下,交大图书馆以转型创新为主旨,锐意进取、励精图治、乘风破浪、扬帆远航,终臻大美交圕的奋斗历程;讴歌全体馆员为此付出的心血与智慧,激励交大图书馆人和全体师生一道,在党的十九大精神鼓舞下,为加快建设中国特 "	SHGT201804004
医学人文油画展在上海健康医学院图书馆展出	柳丽花:35500039|刘晶:37299915	1	 	"<正>上海健康医学院图书馆于2018年9月推出《医之魂——医学人文油画及雕塑展》。本次展览由上海健康医学院校长黄钢教授与北京大学王一方教授共同策展,上海健康医学院图书馆承办,旨在通过鉴赏医学名画、分享医学故事,让医学院的学生们感受人类疾苦、感触死亡,寻找医学生涯的价值,唤醒生命探索 "	SHGT201804030
绘声绘色 海尚朗读 2018“博看杯”海派经典朗读大赛决赛圆满落幕	王莹:11539255	2	 	"<正>""绘声绘色·海尚朗读""2018""博看杯""海派经典朗读大赛现场总决赛于11月22日在上海图书馆4楼多功能厅圆满落下帷幕。本次大赛自4月开赛以来,共有20余家图书馆积极参加、共同承办,经过各馆线上初赛,选送的60个朗读作品,通过""微信投票+专家评选""的方式,最终来自上海财经大学图书馆、同济大学图书馆、上海师范大学图书馆等16家图书馆选送的16个作品进入决赛。 "	SHGT201804031
诗的问答:诗歌中的诗性民族——曹旭教授访谈录	段晓琳:40875070	4	 	"<正>本期""悦读·阅读""栏目,重点关注中国古典诗歌的阅读表达。古代人民怎样用诗歌来表达自己的生产和生活,中华民族代代传唱的诗歌是如何体现民族根基和灵魂,怎样理解唐朝的诗歌盛宴以及怎样阅读古代民歌和诗歌。带着这些问题,我们请到上海师范大学教授,博士生导师,原上海师范大学图书馆馆长曹旭,带领大家一起品味中国诗歌的源起、发展和历代诗歌所体现的民族精神。 "	SHGT201804032
在2018“图书馆学术论坛”上的致辞	周德明:33807318	2	 	"<正>尊敬的各位领导,各位专家,各位同事:上午好!今天,2018""图书馆学术论坛""在此举行,我谨代表上海市图书馆学会对本次论坛的开幕表示衷心的祝贺!对来自全国各地的专题报告专家、论文点评专家以及踊跃参加论坛的同行表示热烈的欢迎!众所周知,学会以学术研究交流和业务探讨为生 "	SHGT201804005
在2018“图书馆学术论坛”上的致辞	杜夏明:40875060	1	 	"<正>尊敬的各位专家,各位领导,各位与会馆员,大家上午好!由上海市高等学校图书情报工作委员会、上海市图书馆学会、中国索引学会共同主办,上海师范大学图书馆、湖北三新文化传媒有限公司三新研究院、江苏中杨数据科技有限公司共同承办的2018""图书馆学术论坛"",今天在上海师范大学顺利召开。在此,我 "	SHGT201804006
关于公共图书馆服务品牌若干问题的思考	王世伟:24808606	2	 	"<正>自1978年改革开放以来,中国公共图书馆事业展开了新时期波澜壮阔的历史发展进程。在数十年中国公共图书馆事业精彩纷呈、百舸争流的服务品牌实践中,如何认知服务品牌的文化内涵、如何理解服务品牌所体现的时代逻辑、如何总结具有中国特色的服务品牌的创意与生动实践、如何揭示服务品牌内在的规律与方法、如何直面服务品牌建设中尚存在的问题并 "	SHGT201804007
图书馆学的B面——学科研究突破的方向与原则	金武刚:07530677	2	 	"<正>一、回顾经典微信公众号上一篇名为《图书馆学基础课程:无法超越的经典》的文章强调了图书馆学基础课程的重要性。文章写道,基础不牢,地动山摇。深以为然。宓浩主编的《图书馆学原理》是图书馆学的经典教材之一,它摆脱了就图书馆研究图书馆,抽象出从社会知识交流来认识图书馆,揭示图书馆活动的社会本质、图书馆工作的内在机理,它的性质、任务,它的组织 "	SHGT201804008
全媒体环境下的阅读推广创新	李桂华:08747195	2	 	"<正>一、全媒体时代的阅读行为转向现代媒体的特征是媒体融合、时空交叠。技术发展带来的便利使人们每天使用大量的媒体并经常在各个媒体之间无缝切换,它不但改变了人们的生活节奏、生活方式、学习方式、休闲方式,也改变了人们的阅读方式。比如说豆瓣上读书小组就有一千多个,有些小组成员甚至超过100万,豆瓣同城也几乎每天都有 "	SHGT201804009
