篇名	作者	页数	关键词	摘要	filename
适应当代大学生技术信息观的图书馆用户教育	王细荣:08584540	4	信息技术; 信息素质教育; 技术信息观; 图书馆用户教育;	"由于新技术在图书馆的广泛应用,大学图书馆用户教育内容必须包含信息素质教育。文章在介绍传统图书馆用户教育和信息素质教育的基础上,分析了新技术条件下大学生的技术与信息观念,最后提出了一些图书馆用户教育的举措。 "	SHGT200703016
浅谈新生入馆教育	任精举:16522180	4	高校图书馆; 入馆教育; 大学生;	"本文通过对入馆教育现状与问题的深入分析,提出了图书馆应坚持的原则和解决措施。 "	SHGT200703017
一段情 一分缘 一个梦——记为彭心潮同志服务的经历		3	 	 	SHGT200703018
上海市委书记习近平视察华东师大闵行校区图书馆		1	 	 	SHGT200703019
上海体育学院图书馆新馆		1	 	 	SHGT200703022
百度“知道”对未来高校图书馆虚拟参考咨询服务平台建设的启示	方杰:10683723|唐开:07515722	4	百度; 互动问答平台; 虚拟参考咨询; 虚拟参考咨询服务平台;	"在分析高校图书馆虚拟参考咨询服务建设中存在的一些仍旧无法有效解决的问题的基础上,提出借鉴百度""知道""互动问答平台的一些建设方式,来进一步完善高校图书馆虚拟参考咨询服务平台的建设。 "	SHGT200702002
信息网络发展对数字图书馆的影响和促进	杜慧:10721292	4	信息网络; 数字图书馆; web 2.0;	"信息网络发展到现在的Web 2.0技术,是源于用户对于个性化、网络自我服务、可移动性及其技术性这三方面的需求。同样,数字图书馆必须在此基础上,寻求发展和改进,更大程度上满足用户的期望。 "	SHGT200702004
信息之窗		4	 	 	SHGT200702003
图书馆优良公众服务形象再塑造的几个问题	韩甬生:21542838|张骏:21259422	3	图书馆形象; 人文环境; 读者服务;	"图书馆形象塑造需构建一种和谐的人文环境,在读者服务工作中凸现人文关怀,构建优良的图书馆对外服务公众形象。 "	SHGT200702005
对高校本科教学评估中图书馆评估的一些思考	管蔚华:07536552	3	教学评估; 图书馆评估; 评估体系;	"高等院校本科教学水平评估对高校发展具有重要的导向作用。文章对高校图书馆评估的目的、内容和形式进行一些分析论述,以期教学评估能对图书馆工作起到更好的推动和促进作用。 "	SHGT200702006
高校图书馆育人环境的营造	曾富荣:10746007	3	同济大学图书馆; 素质教育; 图书馆环境;	"本文结合同济大学图书馆实践,讨论了高校图书馆特殊的育人功能,以及如何营造育人环境。 "	SHGT200702007
高校读者不良行为的调查与思考	王连明:08962930|田宗政:10097337|赵玉宏:10598319|鲁晓琼:08965862	3	读者; 不良行为; 调查分析; 思考;	"文章通过对高校图书馆管理实践中出现的部分读者不良行为的调查与原因分析,提出如何从制度层面有效阻止或降低这种行为发生的创新思路。 "	SHGT200702008
书评与高校图书馆文献服务	李英:06235191	3	书评; 高校图书馆; 导读;	"在认识书评的性质、特征和功用的基础上,阐述书评在高校图书馆文献服务中的重要作用。兼及高校图书馆如何利用书评的问题。 "	SHGT200702009
海宁查氏家族藏书文化简论	韩逢华:10716967	4	海宁查氏家族; 藏书; 文化特征; 宗族藏书;	"明清海宁查氏家族是当地的名门望族,在文学和文化上取得了显著的成就。其中,藏书在查氏家族向文化型家族发展的过程中发挥了举足轻重的作用,从而保证了家族家学的传承和家族人才的辈出。海宁查氏家族藏书有着显著的特点,为民族文化的传承发展作出了积极的贡献,是值得肯定的。 "	SHGT200702010
终端网络与图书馆OPAC检索机管理新模式	骆永成:06604455	3	终端网络; OPAC检索机; 图书馆管理;	"图书馆馆内OPAC检索机在给读者带来方便的同时,也给图书馆对这些机器的管理带来了诸如经常性的系统破坏等困难。本文提出了采用终端网络模式替代图书馆传统使用的普通PC机作为图书馆内OPAC检索机的方案,解决了图书馆对OPAC检索机管理上的难题。 "	SHGT200702011
略论中文期刊采购原则的确定——以东华大学图书馆2007年期刊采购为例	江南:10750939	6	期刊采购; 期刊分类; 电子期刊;	"本文通过对东华大学图书馆2007年期刊采购订单的分析,从采购原则、分类统计、层次比重划分和电子期刊四个方面对中文期刊采购原则的确定做了一个分析和综述。 "	SHGT200702012
复旦大学图书馆藏哈佛教学用书的引进与利用	陈超群:06693479	4	复旦大学图书馆; 外国教材中心; 哈佛教学用书;	"复旦大学图书馆从2002年起开始全套引进哈佛大学教学用书和教学参考书,截止到2006年10月,共有四批约6500种哈佛教学用书上架向读者开放,提供借阅和复印服务,并同步编写了《复旦大学图书馆藏哈佛教学用书目录》和哈佛教学用书的内容简介,通报兄弟院校,实现资源共享。这套哈佛教学用书为复旦大学的本科教学和科研工作提供了很好的服务。 "	SHGT200702013
浅谈图书馆高校文库建设	刘新文1:07372528|陈慧明2:10699403|李志2:07365051	3	高校文库; 文库建设; 特藏文献;	"高校文库是为系统收藏本校教学科研人员、海内外校友的学术著作、优秀科研成果而专设的特藏文库,通过对其现状的分析了解,笔者对文库建设提出了几点建议。 "	SHGT200702015
对《新版中国机读目录格式使用手册》的几点认识	逯仰章:08166634	2	CNMARC; 中国机读目录格式; 著录; 字段;	"结合编目工作实际,试就《新版中国机读目录格式使用手册》中几处尚需明确的规定和说明提出自己的认识。 "	SHGT200702016
CNMARC编目数据套录的问题与对策	赖碧淡:06666283	4	书目数据; 套录数据; 图书馆; CNMARC;	"文章就中文图书编目套录数据的来源以及CNMARC数据存在的问题进行探讨,并结合工作实践,提出了相应对策及建议。 "	SHGT200702017
复旦大学医科图书馆读者调查的统计与分析	俞健:06707328	3	图书馆; 读者调查; 读者服务;	"通过一次读者调查活动,了解了当前高校图书馆普遍的读者服务状况,并对存在的一些问题进行了探讨,为今后高校图书馆开展读者服务工作提出了一些实际的建议。 "	SHGT200702018
高校师生阅读倾向的调查分析与思考	刘萍:10716768|郭宏伟:21254845|倪宁兵:17392106	5	图书馆; 读者服务; 调查报告; 阅读倾向;	"本文以问卷调查的形式,对我校师生读者群阅读文献的动机、经常借阅图书的类别、急需增加的书刊、借阅各类书刊的影响因素等问题进行了调查。经统计分析,提出了我校图书馆应加强馆藏建设、提供优质服务、加强读者获取文献信息能力的教育。同时,对读者的阅读倾向、方法给予正确的引导,以便更好地履行为教学、科研及人才培养服务的功能。 "	SHGT200702019
读者问卷调查中选择题的简易编码设计和数据分析	曹洁冰:08947331	3	问卷调查; 选择题; 编码; 数据分析;	"选择题型具有标准的选项和答案,有利于被调查者的回答和数据的编码、处理,是读者问卷调查中最常用的题型。选择题分为单选、多选和多选排序题,不同的类别需要不同的编码技巧和处理方法。本文结合读者阅读倾向调查介绍了这几种选择题型的数据编码和处理分析的方法。 "	SHGT200702020
对科技查新工作的再审视及未来发展的思考	赵宏铭:10650837	3	科技查新; 发展历程; 管理体制;	"回顾了科技查新工作的发展历程,对科技查新在科研工作所起的重要作用进行了讨论。分析了科技查新工作现状及科技查新出现的各种问题,提出科技查新工作亟待解决的几个问题及其对策。 "	SHGT200702021
"历史与现代相融,科技与人文辉映——2007海峡两岸四地图书馆建筑学术研讨会综述"	刘玉红1:45691221|闫慧2:08962413	3	 	 	SHGT200702014
苍茫斋高世异藏书知见两种	马珂:10642261	2	 	 	SHGT200702022
日本国际基督教大学图书馆的Autolib	陈夏根:10707881	2	日本; 图书馆; 自动化; Autolib;	介绍日本国际基督教大学图书馆的Autolib的工作流程、原理及投资情况。 	SHGT200702023
上海财经大学武川路校区图书馆		1	 	 	SHGT200702001
华东师大图书馆“十五”建设成果巡礼	黄秀文:07537026	3	华东师范大学图书馆; “十五”成就;	"论述""十五""期间华东师范大学图书馆在资源建设、读者服务和学术研究方面所取得的成绩。 "	SHGT200604001
华东师范大学闵行校区图书馆新馆启用		1	 	"<正>华东师范大学闵行校区图书馆自从2004年10月18日奠基动工以来,经过近两年来的建设,现已基本建成,并于2006年9月4日向全体师生试行开放。闵行新校区图书馆面积约33000平方米。目前新图书馆开放地点集中于附楼的三、四层,主要是向广大师生提供书刊阅览服务,因网络尚未开通,借、还图书及电子阅览,暂时还是在临时图书馆内进行。新图书馆 "	SHGT200604002
跨越历史——民办高校图书馆建设与发展的突出特点	杜勤:15419582|刘青芬:09581333|张息珍:08509225	3	民办高校图书馆; 上海工商外国语学院图书馆;	"本文通过对上海工商外国语学院图书馆五年来建馆历史的回顾与分析,说明了民办高校图书馆在信息资源的快速累积、先进信息技术的普遍使用、图书馆服务功能基本健全等方面呈现出良好的发展态势,并进而证实了跨越历史是民办高校图书馆建设与发展的显著特点。文章的意义还在于,提请关注重点院校图书馆的同时,注意民办高校图书馆的迅速崛起,研究民办高校图书馆对我国图书馆事业的贡献与作用。 "	SHGT200604003
科学发展观与高校图书馆	章春野:20339461	3	科学发展观; 高校图书馆;	"结合高校图书馆的实际,论述了科学发展观如何指导图书馆实践。 "	SHGT200604004
图书馆讲座与和谐社会	孙汝杰:17392384	3	和谐社会; 和谐文化;	"本文论述了图书馆讲座作为一种社会活动,其文化属性所带来的社会功效,以及其对建立和谐社会的影响。 "	SHGT200604005
图书馆员的职业特点与图书馆员专业化	傅立芳:08237407	4	图书馆员; 职业特点; 专业化;	"本文根据图书馆员职业的特点,从图书馆员是什么职业,为什么图书馆员要专业化,图书馆员专业化有哪些内容,21世纪对图书馆员有什么要求等几个方面阐述作者对我国图书馆员教育专业化问题的见解。 "	SHGT200604006
上海市高职高专和民办高校图书馆协作组召集馆2006年工作例会会议纪要		1	 	"<正>由上海市高校图书情报工作委员会秘书处提议,高职高专和民办高校图书馆协作组召集馆于2006年9月28日在上海城市管理职业技术学院图书馆举行本年度工作例会。协作组召集馆上海工商外国语职业学院图书馆刘青芬副馆长、上海建桥职业技术学院信图中心周柏康副主任、上海行健职业学院郑荣根馆长、上海城市管理职业技术学院李静馆长参加了此次会议。上海杉达学院因事请假。会议就高职高专和民办高校图书馆协作组工作进行了广泛深入的讨论。现纪要如下: "	SHGT200604007
职业认同：图书馆蓬勃发展的原动力	刘铁军:08137957	3	图书馆员; 职业认同;	"本文在调查研究的基础上,列举了图书馆员职业认同感淡化的行为表现,分析了影响职业认同的因素,提出了图书馆提高馆员职业认同的措施。 "	SHGT200604008
网络环境下高校图书馆的服务和管理	陆琪青:10650779	4	高校图书馆; 服务; 管理; 复合式图书馆;	"本文探讨了复合式图书馆的涵义、特点及其存在的必然性。同时,以同济大学图书馆为例论述了复合式图书馆服务的特点以及管理的主要内容。 "	SHGT200604009
RFID技术与高校图书馆流通管理	李一鹏:07894225|资芸:14039758	3	射频识别; RFID; 图书馆流通管理;	"本文提出利用射频识别技术(RFID)改进流通管理工作方式、提高流通工作效率的观点,阐述了射频识别技术(RFID)的概念、分类、设备要求等,并对其在图书馆的应用及面临的问题进行了分析。 "	SHGT200604010
网络环境下文献检索课实习系统的功能实现	张红:07529515	3	文献检索课实习系统; 系统结构; 系统开发;	"本文阐述了自行开发的文献检索课实习系统的功能、系统结构,探讨了用JSP、JavaBean等技术实现系统的方法。 "	SHGT200604011
高校医学图书馆采访的现状及对策	李梅:10544985	2	图书馆采访; 医学图书馆;	阐述高校医学图书馆采访的现状以及针对此现状所采取的对策。 	SHGT200604012
期刊论文的元数据描述探析	屠彤辉:10720264	5	元数据; 期刊论文; DC;	"文章论述了元数据的使用是期刊论文资源共享和跨仓储无缝查找的一种可行性方法,并从期刊论文应著录的内容出发,基于Dublin Core Element Set的定义与限定,分析和扩充了期刊论文的元数据构成。 "	SHGT200604013
谈高校图书馆读者服务工作及创新	许璐璐:10661993	4	高校图书馆; 读者服务;	本文从现代化高校图书馆服务理念、制度化建设、服务创新三个方面对高校图书馆读者服务工作及创新进行探讨。 	SHGT200604014
上海大学图书馆开展2006年优质服务月活动		1	 	"<正>9月20日至10月20日,上海大学图书馆在三个校区图书馆开展2006年主题为""献真情于全校师生,融服务于教学科研""的优质服务月活动。9月19日,馆党总支书记洪伟麟同志在馆主任及支部书记参加的会议上作了动员,他强调了开展今年优质服务月的重要性和必要性,指出必须结合做好日常服务工作,紧密围绕为我校教学科研工作开展服务,进一步提升图书馆的服务质量,提高服务水准。黄仁浩副馆长对本次活动作了具体布置。 "	SHGT200604015
理工学生加强人文素质培养的思考——从预约、借书、续借统计看学生阅读倾向	李小梅:07531831	4	素质培养; 流通统计;	"本文通过我馆预约、借书和续借统计说明了理工学生人文素质仍存在欠缺,并指出大学生人文素质和科技素质二者是相辅相承的,缺一不可,阐述了人文教育的重要性。 "	SHGT200604016
图书馆电子信息资源有效利用问题探讨	汪凯:17392384|倪宁兵:17392106|孙汝杰:17392513	3	高校图书馆; 信息资源; 高效利用;	"通过对上海应用技术学院图书馆电子资源使用情况的调查,肯定了电子信息资源的重要地位,并论述了在网络环境下如何高效利用图书馆电子信息资源,如主动介绍网上免费资源,实行专业化的信息推送服务,开展个性化的信息过滤技能培训服务,开展知识挖掘和信息增值服务,从而使图书馆信息资源的利用达到最大化。 "	SHGT200604017
CALIS表彰对“十五”CALIS项目建设做出突出贡献的单位和个人		1	 	"<正>日前,CALIS管理中心设立""十五CALIS项目建设突出贡献奖"",表彰奖励对""十五""CALLS项目建设做出突出贡献的单位和个人。该奖分设""全国和地区中心建设奖""、""省中心建设奖""、""项目组织奖""、""文献传递服务奖""、""引进资源建设奖""和""特别贡献奖""。上海地区高校图书馆中,上海交通大学图书馆获得了""全国和地区中心建设奖""一等奖、""项目组织奖""一等奖、""文献传递服务奖""三等奖和""引进资源建设奖""二等奖; "	SHGT200604018
高校研究型图书馆建设中的学科馆员培养问题	倪代川:17527105	3	研究型图书馆; 学科馆员; 高校图书馆;	"本文从高校研究型图书馆建设""热""的现实出发,以学科馆员在研究型图书馆建设过程中的基本共识为基础,着重从""学科馆员素质要求""、""学科馆员队伍建设""、""学科馆员工作空间""、""学科馆员自身发展""等方面分析学科馆员的培养问题。 "	SHGT200604019
万方和清华同方两大学位论文全文数据库对比分析	邱凤鸣:06608071	4	学位论文数据库; 万方; 清华同方;	"文章对万方和清华同方两大学位论文库所收录的论文来源、数量、新颖性及收录学科的完整性进行了比较,同时分析了两库的检索功能、输出方式及下载速度等,对数据库的采购和使用提供建设性意见。 "	SHGT200604020
高职高专数字图书馆的资源建设与读者服务	吴战英:10683131	3	高职高专院校; 数字图书馆; 数字资源建设; 数字资源服务;	"本文从数字资源建设与数字资源服务两个方面,结合实际探讨高职高专数字图书馆的建设途径和相应的服务方式。 "	SHGT200604021
日本图书馆界透视	吴志荣:10688219|孙亚萍:09627555|马国平:08555497	4	日本图书馆; 图书馆建设;	"文章介绍了日本国立国会图书馆的文献利用模式和日本图书馆界在藏书建设、读者服务、自动化和数字化建设等方面的一些做法,认为""一个复本""的采购政策、不盲目引进国外自动化管理软件、重视知识产权以及""以读者为本,注重效率""的管理模式等值得借鉴。 "	SHGT200604022
《上海高校图书情报工作研究》2006年(第16卷)索引		5	 	 	SHGT200604023
论高校图书馆信息共享空间的构建	孙瑾:21010146	7	信息共享空间; 高校图书馆; Information Commons; IC;	"首先分析信息共享空间的缘起、现状及其内涵与功能,然后阐述在高校图书馆构建信息共享空间的重要意义,最后提出高校图书馆信息共享空间的构建方案。 "	SHGT200603001
大学图书馆服务创新模式——信息共享空间	孙桂春:08484321|向群:21356174	4	图书馆服务模式; 信息共享空间; 大学图书馆; 信息素养; Information Commons; IC;	"信息共享空间是20世纪90年代在研究型大学图书馆兴起的一种服务创新模式,目前已成为大学图书馆发展的新潮流。简单分析美国大学图书馆信息共享空间建设状况可以看出,我国大学图书馆的建设应融合信息共享空间服务理念,建立合理的信息资源体系结构,加强工作人员技能培训和素质培养,完善质量跟踪和评价体系,提高服务质量和服务水平,为我国大学的快速发展提供信息和服务保障。 "	SHGT200603002
泾渭分明的学界与业界——我国图书馆界的一个怪现象	吴志荣:08555497	2	 	"<正>这是近来经常盘旋在笔者脑海中的一个问题。这里的""学界""是指专门从事图书馆学(如今一般称为""信息管理学"")教学和科研的教师和科研人员(目前主要都就职于有关高校的院、系);""业界""则是指各级各类图书馆的从业人员。从理论上来说,""学界""和""业界""都属于""图书馆界"",两者应该是相互依存、相互融合、相互推动的 "	SHGT200603003
从图书馆法的立法基础析现代图书馆的法律职能——兼及图书馆法立法若干建议	张占江:10597806|张义兰:06707438|彭晓庆:06709119	4	信息不对称; 法律职能; 图书馆法;	"信息时代的今天,政府与市场以及市场主体之间的信息不对称,严重地制约着市场经济运行效率的提高。经济法是规制信息不对称导致的市场、政府失灵的主要部门法,图书馆法则是其中具体体现这一职能的专门法律,重新匡正这一法律属性,并阐明图书馆的法律职能对于图书馆法立法必将大有裨益。 "	SHGT200603004
图书馆宣传工作的思考	郝雁:09592846|顾江:10729728	4	图书馆; 图书馆宣传工作体系; 大众传媒;	"随着图书馆从书本位逐渐向人本位服务模式的转变,图书馆的宣传工作也由原来的不被重视转变为一项发挥着举足轻重作用的工作。本文对图书馆宣传工作的概念、原则、功能、内容、方式等要素进行了系统的分析,认为图书馆的宣传工作是图书馆整体工作中不可或缺的一部分。 "	SHGT200603005
提高图书馆核心竞争力的途径	李虹:10630510	3	图书馆核心竞争力; 人力资源; 馆藏资源; 管理创新;	"高校在发展建设中如何能达到即定的目标,与图书馆所能提供的信息资源和服务紧密相关。本文就高校图书馆如何有效地进行人力资源建设和馆藏资源建设以及管理创新提出了方法和建议。 "	SHGT200603006
论建国以来图书馆学情报学刊物发展的三个阶段	黄少明:10697145	5	图书馆学; 情报学; 刊物; 发展史;	"建国以来,我国图书馆学情报学刊物的编辑出版经历了三个发展阶段:从上世纪50年代到文革前为第一阶段,整个文革时期为第二阶段,文革结束到现在为第三阶段。第一阶段是初步发展时期,第二阶段是停顿和特殊发展时期,而第三阶段则是快速、稳定和深层次发展时期。 "	SHGT200603007
“首届国际学术期刊展·中国”在复旦大学图书馆举行		1	 	"<正>为更好地实施""高等学校教学质量与教学改革工程"",保证教育质量的稳步提高,推动高等学校积极引进先进的、能反映学科发展前沿的国外原版期刊,促进国内创新能力和科研水平的提高,中华人民共和国教育部高等教育司委托中国教育图书进出口公司合作举办的""首届国际学术期刊展·中国""6月6日～8日在复旦大学图书馆举行。开幕式由中国教育图书进出口公司罗依丽副总经理主持。参加开幕式的嘉宾有:复旦大学图书馆秦曾後馆长、Swets公司大中华地区总经理陈尚权先生、中科院上海生命科学信息中心图书馆孙继林馆长、上海交通大学黄永礼副馆长、上海交通大学医学馆张文浩馆长、华东师范大学余海宪副馆长等来自上海地 "	SHGT200603008
应用Ajax技术构建数字图书馆网络平台	刘铁军:08137957	2	数字图书馆; Ajax技术; 网络平台;	"Ajax不是一个技术,它实际上是几种技术,每种技术都有其独特之处,合在一起就成了一个功能强大的新技术。目前,许多项目证明了Ajax不只是学术上的,也有许多现实世界的成功应用。文章主要介绍了Ajax的思想和原理,并简要分析了它在数字图书馆网络平台中的应用。 "	SHGT200603009
论网络环境下实体馆藏信息资源的采集模式	郑兰:19001523	2	实体馆藏; 信息资源; 采选; 模式;	"在图书馆实体馆藏建设的实体信息资源的采选工作中,对不同类型的信息资源选择哪些采集方式进行采选,直接关系着信息资源到馆的时效性和到馆率。因此,如何采取合理的采集模式是图书馆实体信息资源采选工作的重点。本文对目前图书馆实体馆藏信息资源的采集模式进行了归纳,并分析了不同采集模式的优缺点。 "	SHGT200603010
体育学科特色信息资源系统的创建	彭忱:09676819	3	高校图书馆; 学科特色; 信息资源; 体育学;	"根据高校图书馆特点和读者需求,建立具有学科特色的信息资源体系是各高校图书馆发展的方向。本文结合实践工作,论述了创建体育学科特色的信息资源系统的必要性以及途径。 "	SHGT200603011
CNMARC610字段与关键词标引	许勇:17431912	4	CNMARC; 610字段; 非控主题词; 关键词; 标引;	"本文首先简述了CNMARC610字段的运用背景和原由,然后结合编目实例就关键词标引的意义及方法进行了详尽论述。 "	SHGT200603012
关于高校图书馆家具选配的几点思考	边志瑾:09411580	2	图书馆家具; 家具选配; 室内装饰;	"家具配置是高校图书馆建设的重要组成部分之一,本文从高校图书馆家具选配的现实情况出发,结合学生对图书信息需求方式的变化趋向,分析了目前高校图书馆家具选配方面存在的问题,确立了家具选配的基本原则,并提出了今后高校图书馆家具选配应注意的一些关键问题。 "	SHGT200603013
东华大学图书馆EBSCO数据库使用情况分析与研究	王彦:10598424	3	东华大学图书馆; 电子资源; EBSCO; 使用情况分析;	"本文通过对东华大学图书馆EBSCO数据库使用情况的分析,从其整体情况、分库使用情况和全文及文摘下载情况等几个方面,探讨了我校数字化图书馆在今后的发展方向和建设内容,并据此做出调整,使电子资源及其服务更符合用户的需要,利用率更高。 "	SHGT200603014
读者调查表模块设计研究	戴滨:07503851	2	读者调查; 调查表; 设计;	本文阐述读者调查表模块设计的思路、内容和实现方法。 	SHGT200603015
浅议图书馆如何提高读者服务的质量	李莉:06705580	2	图书馆; 读者服务; 服务质量;	"本文针对当前图书馆读者服务的新情况,探讨如何提高服务质量。 "	SHGT200603016
我馆文献传递服务现状分析	张莲萍:07529211|汤志云:07528679|孙济庆:07534546	3	全文文献; 文献传递; 信息资源共享;	"本文根据网络信息的发展和读者获取全文文献的需求,在本馆实际工作的基础上,探讨了依托协作网络获取和传递全文文献的途径。 "	SHGT200603017
近代诗文集编目偶得	黄明:07530534	3	近代诗文集; 版本; 编目;	对近代人诗文集进行编目的过程中遇到的一些问题进行阐述。 	SHGT200603018
网络环境下的大学生信息素质教育		4	信息素质; 文献检索; 信息检索; 文检课;	"计算机技术、网络技术的迅速发展,对传统的以文献检索为主要内容的信息素质教育是一次严峻的挑战。应该开设以网络信息检索为主要内容的""文献检索""课,全面提升大学生信息素质,提高获取信息的能力,掌握终身学习的技能。 "	SHGT200603019
本科生文献检索课教学改革与实践	王德英:08539162|詹华清:08537497	4	文检课; 检索技能; 网络课件;	总结2000年以来我校文献检索课教学大纲、教材内容、网络化教学内容的改革与实践以及取得的成果。 	SHGT200603020
“全国体育学院图书馆馆长工作会议暨新世纪体育图文信息学术研讨会”在上海体育学院召开		1	 	"<正>""全国体育学院图书馆馆长工作会议暨新世纪体育图文信息学术研讨会""于2006年6月2日—4日在上海体育学院新落成的图文信息大楼召开。来自全国各体育院校的图书馆馆长及研讨会论文作者共34人参加了会议。上海体育学院党委书记虞丽娟出席开幕式并致辞,热烈祝贺会议召开。全国体育院校图书情报工作委员会副主任、北京体育大学图书馆馆长刘彩霞代表体图工委对此次""两会""召开表示热烈祝贺。会上,复旦大学图书馆馆长秦曾役教授、同济大学图书馆馆长慎金花教授、上海市高校图工委秘书长庄琦、上海体育学院图书馆馆长陆爱云教授作了精彩的主题报告。与会代表分别就""体育院校图书馆建设和发展""、""体育图文信 "	SHGT200603021
对图书馆(学)史的崭新解读——吴稌年《图书馆活动高潮与学术转型》评荐	于鸣镝:05964335	3	图书馆史; 图书馆学史; 中国近代; 书评; 吴稌年;	"文章在肯定了《图书馆活动高潮与学术转型》的优点(选定领衔人物、著名图书馆、先进管理思想作为衡量图书馆活动高潮与活动中心的三个标准和要素;认为图书馆史的研究对象是""图书馆"",而图书馆学史的研究对象则是""图书馆学家及其著作"",对""要素说""做了客观的评价;对我国近代图书馆发生发展原因的分析也是比较中肯的)之后,指出其中不足之处。 "	SHGT200603022
同济大学图书馆开展“第三届创新服务月活动”		1	 	"<正>同济大学图书馆于2006年4月1日至4月30日开展了""第三届创新服务月活动""。本届服务月活动丰富,形式新颖,吸引了众多读者热情参与。服务月中主要开展了""最受读者欢迎的服务点""、""读者心目中的优秀图书馆馆员形象""、""读者最讨厌的图书馆馆员行为""的评选,评选结果为图书馆改进工作提供了参考。活动期间,图书馆还邀请了著名京剧表演艺术家尚长荣、作家叶永烈、程乃珊和赵丽宏为读者做了精彩的演讲;举行了图书馆职工美术、摄影作品 "	SHGT200603023
SERVQUAL质量评估工具效用性再认识——基于认识论视角的定性考察(上)	于良芝1:08112259|洪秋兰1:08772399|谷松2:08107076	5	图书馆评估; SERVQUAL; 认识论;	"SERVQUAL是20世纪90年代初从商业领域引入图书馆界的质量评估工具,本文以经验研究 (empirical research)数据为依据,从认识论的角度对SERVQUAL的部分前提假定提出了质疑,提出了加强 SERVQUAL效用性的若干建议。 "	SHGT200504001
关于图书馆知识服务若干问题探讨	钟惠燕:20795023|程慧荣:20151367	4	知识服务; 图书馆服务;	"本文通过对信息社会知识服务的内涵、特征及主要技术的阐述,分析了图书馆实施知识服务的优势,探讨了知识服务的各种措施及知识服务的发展方向。 "	SHGT200504002
复旦大学图书馆MetaLib／SFX学术资源门户系统正式开通		1	 	"<正>复旦大学图书馆MetaLib/SFX学术资源门户系统于2005年9月22日正式开通。MetaLib是Ex Libris公司开发的图书馆信息门户系统,SFX是Ex Libris公司开发的上下文链接服务器。MetaLib内嵌SFX,二者的结合为图书馆资源整合提供了较好的解决方案。MetaLib可以整合图书馆所拥有的各种资源并提供统一的检索平 "	SHGT200504003
组织数字信息资源的元数据方法和Ontology方法	王绍平:08521993	4	Ontology; 数字信息资源; 元数据ontology模型; 元数据;	"元数据方法和ontology方法有不同的渊源与应用领域。随着信息技术的发展和元数据、ontology 研究的深入,元数据与ontology相互借鉴、相互融合的特征日益显现。元数据的ontology模型便是这种特征的例证与具体体现。 "	SHGT200504004
单汉字检索模式下的标引问题研究	陈磊:07520236|孙济庆:07528679	4	单汉字检索; 文献标引;	"单汉字检索,是目前全文检索系统采用较多的一种检索模式。针对单汉字检索模式对文献标引的影响进行了分析,并指出该模式下标引的无效性。最后,提出了改进方法。 "	SHGT200504005
图书馆文化与“凝聚力工程”建设	沈煜光:21349235|赵和平:21548248	3	图书馆文化; “凝聚力工程”建设;	"本文论述了图书馆基层党组织把""凝聚力工程""建设和图书馆文化建设结合起来,一起抓,必将取得更好的实效。同时提出了图书馆基层党组织从图书馆文化建设的高度来推进""凝聚力工程""建设的若干途径。 "	SHGT200504006
图书馆文化:图书馆发展的第一推动力	王玉富:17683363	4	图书馆文化; 科学管理; 人力资源; 发展理念; 服务创新;	"文化作为一种""软实力""正在现代社会的发展中扮演着越来越重要的角色,被称为第一推动力! 当前,发挥先进文化的凝聚力、感召力和引导力,更是成为各行各业发展和竞争的重要内容和手段。图书馆也不例外。本文从图书馆文化的变革,科学管理和人性化管理两种管理文化的优选和对比,如何确立科学发展理念,变革人力资源管理理念以及服务意识的创新几个视角,阐述了笔者对于打造图书馆文化的一些见解。 "	SHGT200504007
2005上海国际学术图书暨外文原版教材展在复旦举行		1	 	"<正>为庆祝复旦大学百年华诞,中国教育图书进出口公司和复旦大学图书馆联合举办的""2005 上海国际学术图书暨外文原版教材展""于9月22日至25日在复旦大学文科图书馆隆重举行。这次书展共展出外文学术图书3000余种,外文原版教材3500余种,展品来自20多家世界顶尖 "	SHGT200504008
论梁启超目录学思想之历史贡献	盛兴军:09542952|沈红:21471891	4	梁启超; 目录学; 《西学书目表》;	梁启超是近代资产阶级改良派政治家、启蒙思想家。他对目录学研究有着独特的贡献。本文着重分析梁启超的近代目录学思想的历史意义和学术价值。 	SHGT200504009
关于校园一卡通系统的应用与思考	顾金娣:09545175	4	校园一卡通; 应用; 思考;	"本文以上海第二工业大学校园一卡通系统为例,简述了一卡通系统的结构以及应用情况,分析了该系统对提升服务管理水平的重要作用,并对高校校园一卡通系统的应用提出自己的思考。 "	SHGT200504011
试论网络教育与数字图书馆	林火1:15141821|陈毅华2:07529984	3	网络教育; 数字图书馆;	"本文论述了网络教育的特点,以及数字图书馆在网络教育中的地位和作用,认为数字图书馆所具备的在线服务的特征是开展网络教育教学活动必不可少的,并能促进网络教育的发展。 "	SHGT200504012
图书馆文献资源布局的优化	曾艳兰:11693710	4	文献资源; 资源布局; 二次借阅;	"对图书馆的文献资源包括电子资源的布局问题进行了探讨,建立了有关的数学模型,给出了求解方法,并通过具体例子阐述其求解过程。 "	SHGT200504013
对高校图书馆扩大自助服务的思考	吴爱惠:08555055	3	自助服务; 读者服务; 高校图书馆;	"介绍图书馆自助服务的概念及范畴,分析高校图书馆开展自助服务的有利因素和重要意义,并对高校图书馆实施自助服务提出几点建议。 "	SHGT200504014
