中国科学院图书情报工作计算机应用情况调查报告,中国科学院图书馆计算机组:|,9,,为加速中国科学院图书情报工作现代化的步伐，中国科学院于１９８２年６月 ８日到１３日在武汉召开了中国科学院图书情报系统计算机应用协调会，现仅选 其中几篇，刊登如下。,XDTQ198204000
西文期刊联合目录联机检索系统,应煊:10356355|白金华:15763849|,7,,,XDTQ198204001
地区馆如何开展计算机定题服务工作,中国科学院上海图书馆计算机检索组:|,3,,,XDTQ198204002
专题文献索引中微处理机检索,张淑勤:09563983|孙宗琦:10349581|,7,,,XDTQ198204003
电子计算机在昆虫标本馆管理上的应用简介,戴克明:09578347|邬恤民:10353677|,3,,,XDTQ198204004
LASIRS系统的建库子系统,朱献有:17223620|,9,,,XDTQ198204005
用COBOL语言编制的图书情报检索数据库管理系统,王令宏:08562096|丁利亚:08507219|沈祖梁:08509328|丁爱均:08562098|,10,,,XDTQ198204006
手工标引法与自动标引法之比较(下)——SMART/MEDLARS比较,王知津:05971430|,9,,,XDTQ198204007
一个读者阅读倾向统计分析程序,莫少强:10506097|,4,,,XDTQ198204008
汉字处理与网络,卢国邦|余光镇:|,2,,,XDTQ198204009
系统结构的变迁与第五代计算机展望(摘要),毕庶本:08209379|,2,,,XDTQ198204010
美国图书馆的联机查目,涤非:|,1,,,XDTQ198204012
日本MARC的现状,王兵:|,2,,,XDTQ198204013
一种适应于多种情报检索系统的终端翻译接口器,王兵:|,1,,,XDTQ198204014
建立在新技术基础之上的美国图书情报工作(考查报告),沈迪飞:16539497|,9,,,XDTQ198301000
《汉语主题词表》初探,王源:09572471|陆长旭:10355914|,5,,,XDTQ198301001
在HP3000计算机上实现的一个文献情报检索系统CDS—LIRS,CDS—LIRS系统设计小组:10373790|崔新徽:09641394|邓国琳:10373810|,6,,,XDTQ198301002
利用倒排文档进行检索的工作区动态分配法,汪建平:10137732|唐胜群:10137458|,5,,,XDTQ198301003
使用计算机检索纤维素化学文献,谭永强:09628931|蔡家海:10345977|,2,,,XDTQ198301004
文献检索策略的探讨,邵品洪:08036959|付大林:08034766|,3,,,XDTQ198301005
自然语言信息加工和人工智能,耿立大:09559524|,6,,,XDTQ198301006
关于大型机和小型机综合情报服务系统,王向荣:12175797|,4,,,XDTQ198301007
期刊存贮与检索在微型机上的实践,徐兆和:10093768|,3,,,XDTQ198301008
利用计算机追溯检索的实践浅剖,凌惟侯:13621616|,3,,,XDTQ198301009
数据结构与管理(八),伊凡·弗劳利斯|李乐天|董丽琴:|,11,,,XDTQ198301010
《自动化、空间管理和工作效率》,胡广翔:|,1,,,XDTQ198301011
机读书目记录磁带格式的设计和标准化,周兵:21461362|,6,,,XDTQ198302000
自动格式识别设计,李竺:06268926|孟若燕:06268329|苏晋:06267632|张京萍:06276477|,11,,,XDTQ198302002
联机检索策略初探,余光镇:16989049|曲红:16514873|,6,,,XDTQ198302003
《计算机科学技术英语主题词表》──专业词表的编制,王能琴:09560254|赵桂田:09638993|刘琪:09639462|,5,,,XDTQ198302004
一个实用的联机查重、检索系统AOFRS 的建立及一种新的查重、检索方法,王懋江:12175799|吴振益:12175795|,4,,,XDTQ198302005
RLG、WLN和LC三个系统将连成一个网络,晓通:|,1,,,XDTQ198302006
戈夫曼词现过渡与自动标引,王知津:05971430|,3,,,XDTQ198302007
EC─—1022B计算机编目系统,王大可:09030744|,4,,,XDTQ198302008
日本图书馆机械化的现状和未来的趋势,方容华:15938919|,4,,,XDTQ198302009
Dialog新的计算机,镇柯:|,1,,,XDTQ198302010
数据结构与管理(九),伊凡·弗劳利斯|李乐天|董丽琴:|,15,,,XDTQ198302011
美国国会图书馆自动化对我们的启示,孙蓓欣:21574028|,3,,,XDTQ198303000
X射线粉末衍射图谱的自动检索,高培峰|戚绍祺|陈竞坤|蔡家海|孙乃玖|张坚鹏|黎一兵|吴国贤:|,3,,,XDTQ198303001
获得情报的主题法,范秀英:|,1,,,XDTQ198303002
中文科技资料联机检索初试,付振东:13337265|魏树铭:13337251|沈素真:13337226|,4,,,XDTQ198303003
联机情报检索软件BIRDS剖析,戚志峰:16493513|,9,,,XDTQ198303004
小型情报检索专用数据库设计中的若干问题,裴广生:08577366|,6,,,XDTQ198303005
英国图书馆数据库系统,晓通:|,1,,,XDTQ198303006
从INSPEC磁带对中国期刊论文的摘编方法谈我国自建文献库的文摘编写,汤丹:16617109|,4,,,XDTQ198303007
一个实验性的连续出版物系统,董成泰:06276457|张甲:06255310|,5,,,XDTQ198303008
国内化学文献数据库编制会议在京召开,秋林:|,1,,,XDTQ198303009
美国的图书馆自动化,胡广翔:16061890|李维碧:16240970|,4,,本文从网络的建立着手，报导了图书馆自动化的过去、现在和未来，描述了ＯＣＬＣ的作用、ＭＡＲＣ的使用、联机数据库的发展，指出了微小型计算机对图书馆自动化的贡献。,XDTQ198303010
EURONET及西欧的文献库与数据库,李大年:17321707|,7,,,XDTQ198303011
数据结构与管理,伊凡·弗劳利斯|李云甫|董丽琴:|,12,,,XDTQ198303012
清华大学图书馆QBRS多用户联机书目检索系统正式开放服务,方林:|,1,,,XDTQ198303013
第五届国际联机情报会议,镇柯:|,1,,,XDTQ198303014
图书馆网与计算机的应用,陈源蒸:06260064|,6,,,XDTQ198304000
MARC磁带与我国西文编目,安树兰:08224735|,4,,,XDTQ198304002
美国化学学会18种杂志实现全文检索,涤非:|,1,,,XDTQ198304003
ZKQ/A—一个通用型的汉字情报自动处理系统,李大年:17321707|王赞融:21384007|张保明:14619200|,5,,,XDTQ198304004
国外适用于图书馆业务的市售微型机软件系统,陈光祚:14756433|龚国伟:09002414|,7,,,XDTQ198304005
“菊池思想”剖析,黄祥喜:10134181|,5,,,XDTQ198304006
档案目录检索系统的自动化初探,邱晓威:21345766|,6,,,XDTQ198304007
西文编目输出系统,杨华:06262512|金洲:06268349|武明:06266961|苗莹:06270744|,5,,,XDTQ198304008
日本MARC简介,陈佩珍:20018919|,4,,,XDTQ198304009
结构性化学数据库的国外动态,梁曦云:09636862|,4,,,XDTQ198304010
数据结构与管理(第十一章),伊凡·弗劳利斯|李云浦|董丽琴:|,10,,,XDTQ198304011
数据库系统和开发过程,张荣肖:21033894|,2,,,XDTQ198304012
系统设计和联机情报检索学习班简讯,李秀锦:13613589|,1,,,XDTQ198304013
武汉大学微型机“图书流通系统”和“图书情报管理系统”通过鉴定,董慧:08982675|,2,,,XDTQ198304014
新数据库,镇柯:|,1,,,XDTQ198304015
中国环境文献库联机检索系统通过鉴定,路学:|,1,,,XDTQ198304017
数据库新闻,镇柯:|,1,,,XDTQ198304018
新书《信息技术》出版,旭:|,1,,,XDTQ198304019
微型计算机汉字情报检索系统,辛乘胜:20672521|,8,,本文详细地介绍了汉字情报检索系统的功能、模式、系统的数学模型、设计思想，数据结构和实现技术，并评述了系统的实施算法。,XDTQ198401000
